tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
01/01/2011,DKI1 (Bunderan HI),52,17,51,46,7,52,PM10,SEDANG
01/01/2011,DKI2 (Kelapa Gading),19,6,19,41,7,41,O3,BAIK
01/01/2011,DKI3 (Jagakarsa),---,5,7,76,2,76,O3,SEDANG
01/01/2011,DKI4 (Lubang Buaya),---,2,14,47,5,47,O3,BAIK
01/01/2011,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
02/01/2011,DKI1 (Bunderan HI),35,15,15,47,10,47,O3,BAIK
02/01/2011,DKI2 (Kelapa Gading),17,4,12,41,11,41,O3,BAIK
02/01/2011,DKI3 (Jagakarsa),---,5,6,42,2,42,O3,BAIK
02/01/2011,DKI4 (Lubang Buaya),---,3,10,36,5,36,O3,BAIK
02/01/2011,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
03/01/2011,DKI1 (Bunderan HI),41,16,28,21,14,41,PM10,BAIK
03/01/2011,DKI2 (Kelapa Gading),21,5,25,22,15,25,CO,BAIK
03/01/2011,DKI3 (Jagakarsa),---,5,12,31,5,31,O3,BAIK
03/01/2011,DKI4 (Lubang Buaya),---,2,35,18,11,35,CO,BAIK
03/01/2011,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
04/01/2011,DKI1 (Bunderan HI),34,17,19,26,11,34,PM10,BAIK
04/01/2011,DKI2 (Kelapa Gading),17,8,16,44,9,44,O3,BAIK
04/01/2011,DKI3 (Jagakarsa),---,5,5,77,2,77,O3,SEDANG
04/01/2011,DKI4 (Lubang Buaya),53,---,---,46,---,53,PM10,SEDANG
04/01/2011,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
05/01/2011,DKI1 (Bunderan HI),34,12,21,35,10,35,O3,BAIK
05/01/2011,DKI2 (Kelapa Gading),15,4,18,27,12,27,O3,BAIK
05/01/2011,DKI3 (Jagakarsa),56,---,15,61,10,61,O3,SEDANG
05/01/2011,DKI4 (Lubang Buaya),59,---,---,38,---,59,PM10,SEDANG
05/01/2011,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
06/01/2011,DKI1 (Bunderan HI),28,11,30,42,16,42,O3,BAIK
06/01/2011,DKI2 (Kelapa Gading),16,5,17,29,19,29,O3,BAIK
06/01/2011,DKI3 (Jagakarsa),53,---,30,94,---,94,O3,SEDANG
06/01/2011,DKI4 (Lubang Buaya),57,---,---,57,17,57,PM10,SEDANG
06/01/2011,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
07/01/2011,DKI1 (Bunderan HI),37,17,28,30,13,37,PM10,BAIK
07/01/2011,DKI2 (Kelapa Gading),18,6,19,46,19,46,O3,BAIK
07/01/2011,DKI3 (Jagakarsa),50,4,8,67,---,67,O3,SEDANG
07/01/2011,DKI4 (Lubang Buaya),57,4,12,44,17,57,PM10,SEDANG
07/01/2011,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
08/01/2011,DKI1 (Bunderan HI),57,22,37,23,14,57,PM10,SEDANG
08/01/2011,DKI2 (Kelapa Gading),22,9,17,43,16,43,O3,BAIK
08/01/2011,DKI3 (Jagakarsa),70,4,25,69,7,70,PM10,SEDANG
08/01/2011,DKI4 (Lubang Buaya),70,6,37,28,14,70,PM10,SEDANG
08/01/2011,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
09/01/2011,DKI1 (Bunderan HI),---,20,34,31,13,34,CO,BAIK
09/01/2011,DKI2 (Kelapa Gading),31,5,35,28,14,35,CO,BAIK
09/01/2011,DKI3 (Jagakarsa),74,5,34,78,11,78,O3,SEDANG
09/01/2011,DKI4 (Lubang Buaya),70,3,31,37,18,70,PM10,SEDANG
09/01/2011,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
10/01/2011,DKI1 (Bunderan HI),---,19,21,28,13,28,O3,BAIK
10/01/2011,DKI2 (Kelapa Gading),16,9,16,29,13,29,O3,BAIK
10/01/2011,DKI3 (Jagakarsa),55,2,8,89,---,89,O3,SEDANG
10/01/2011,DKI4 (Lubang Buaya),54,3,8,41,7,54,PM10,SEDANG
10/01/2011,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
11/01/2011,DKI1 (Bunderan HI),46,18,24,31,11,46,PM10,BAIK
11/01/2011,DKI2 (Kelapa Gading),19,5,14,35,9,35,O3,BAIK
11/01/2011,DKI3 (Jagakarsa),49,3,8,63,---,63,O3,SEDANG
11/01/2011,DKI4 (Lubang Buaya),52,4,14,41,12,52,PM10,SEDANG
11/01/2011,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
12/01/2011,DKI1 (Bunderan HI),43,20,28,27,10,43,PM10,BAIK
12/01/2011,DKI2 (Kelapa Gading),21,4,19,33,8,33,O3,BAIK
12/01/2011,DKI3 (Jagakarsa),57,3,9,58,---,58,O3,SEDANG
12/01/2011,DKI4 (Lubang Buaya),60,4,14,31,15,60,PM10,SEDANG
12/01/2011,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
13/01/2011,DKI1 (Bunderan HI),49,16,28,34,14,49,PM10,BAIK
