"tanggal","stasiun","pm10","so2","co","o3","no2"
"01/01/2013","DKI1 (Bunderan HI)",75,4,23,51,9
"01/01/2013","DKI2 (Kelapa Gading)",45,3,27,135,10
"01/01/2013","DKI3 (Jagakarsa)",32,3.8831807514175,20,30,4
"01/01/2013","DKI4 (Lubang Buaya)",57,3.84492812502234,26,73,7
"01/01/2013","DKI5 (Kebon Jeruk)",57.5136878487246,1,13,38,7
"02/01/2013","DKI1 (Bunderan HI)",35,4,21,34,8
"02/01/2013","DKI2 (Kelapa Gading)",25,3,17,192,7
"02/01/2013","DKI3 (Jagakarsa)",19,3.71083607388813,17,59,5
"02/01/2013","DKI4 (Lubang Buaya)",35,3.67980049878476,26,64,6
"02/01/2013","DKI5 (Kebon Jeruk)",47.6054836590915,2,12,30,5
"03/01/2013","DKI1 (Bunderan HI)",46.5004832453213,3.62131014491284,19.6081409312637,68.8260796064389,7.77382467035435
"03/01/2013","DKI2 (Kelapa Gading)",36,5,19,195,9
"03/01/2013","DKI3 (Jagakarsa)",48,1,24,52,5
"03/01/2013","DKI4 (Lubang Buaya)",58,3.53840515386177,36,45,9
"03/01/2013","DKI5 (Kebon Jeruk)",61,2,34,27,8
"04/01/2013","DKI1 (Bunderan HI)",40.5644533788797,3.49180897965224,17.8859179290195,68.1440156571908,7.39842828679038
"04/01/2013","DKI2 (Kelapa Gading)",31,4,13,210,10
"04/01/2013","DKI3 (Jagakarsa)",14,3.44734903210121,6,30,2
"04/01/2013","DKI4 (Lubang Buaya)",39,1,11,56,6
"04/01/2013","DKI5 (Kebon Jeruk)",28,2,7,26,4
"05/01/2013","DKI1 (Bunderan HI)",34.3859005157619,3.39252004067643,15.6317348389932,62.5987722163155,7.05432008096568
"05/01/2013","DKI2 (Kelapa Gading)",23,5,14,111,8
"05/01/2013","DKI3 (Jagakarsa)",18,3.36002953271195,5,26,2
"05/01/2013","DKI4 (Lubang Buaya)",53,3.3420229838444,11,38,5
"05/01/2013","DKI5 (Kebon Jeruk)",26,4,6,31,6
"06/01/2013","DKI1 (Bunderan HI)",30.7014924338136,3.30454178144666,14.6608678455657,58.6011442991645,6.86551016888646
"06/01/2013","DKI2 (Kelapa Gading)",29,3,20,150,9
"06/01/2013","DKI3 (Jagakarsa)",19,3.26621158467435,13,24,4
"06/01/2013","DKI4 (Lubang Buaya)",32,1,15,32,7
"06/01/2013","DKI5 (Kebon Jeruk)",26,2,11,21,7
"07/01/2013","DKI1 (Bunderan HI)",27.6037422813104,3.22208525832916,14.2141367236483,54.7383967290471,6.74528376799113
"07/01/2013","DKI2 (Kelapa Gading)",28,4,14,170,11
"07/01/2013","DKI3 (Jagakarsa)",18,3.19777912709082,10,25,4
"07/01/2013","DKI4 (Lubang Buaya)",28,3.18476905538674,13,32,7
"07/01/2013","DKI5 (Kebon Jeruk)",23,2,7,34,4
"08/01/2013","DKI1 (Bunderan HI)",25.3138961884882,3.16129374430355,14.0726988070471,48.1426078258941,6.60441250281397
"08/01/2013","DKI2 (Kelapa Gading)",24.9395985976107,3.15082850492445,14.1227623982888,47.0334623563561,6.58457702931388
"08/01/2013","DKI3 (Jagakarsa)",11,3.14036326554535,20,23,4
"08/01/2013","DKI4 (Lubang Buaya)",33,3.12989802616625,25,31,6
"08/01/2013","DKI5 (Kebon Jeruk)",33,2,11,13,5
"09/01/2013","DKI1 (Bunderan HI)",23.7347710673259,3.11139873742334,13.9650029468764,45.0022554549357,6.54614712186171
"09/01/2013","DKI2 (Kelapa Gading)",17,2,18,92,7
"09/01/2013","DKI3 (Jagakarsa)",12,3.09772693192967,6,24,2
"09/01/2013","DKI4 (Lubang Buaya)",21,3.09208917579981,9,32,5
"09/01/2013","DKI5 (Kebon Jeruk)",12,3.08645141966995,6,16,4
"10/01/2013","DKI1 (Bunderan HI)",22.9212644390214,3.08081366354009,13.7773556761966,44.5165328747516,6.60833673562303
"10/01/2013","DKI2 (Kelapa Gading)",24,4,16,76,6
"10/01/2013","DKI3 (Jagakarsa)",11,3.0675296134509,5,21,1
"10/01/2013","DKI4 (Lubang Buaya)",23,3.05988331949157,8,26,4
"10/01/2013","DKI5 (Kebon Jeruk)",16,2,6,18,4
"11/01/2013","DKI1 (Bunderan HI)",24.4530476172549,3.04687598548042,14.529579404086,46.9414315608345,6.87381232240004
"11/01/2013","DKI2 (Kelapa Gading)",24.9837117277097,5,15,53,5
"11/01/2013","DKI3 (Jagakarsa)",15,1,5,24,2
"11/01/2013","DKI4 (Lubang Buaya)",39,1,8,31,4
"11/01/2013","DKI5 (Kebon Jeruk)",22,4,7,20,5
"12/01/2013","DKI1 (Bunderan HI)",27.3195069589091,3.02298330146716,16.4737492677065,55.2027148621476,7.38756751332414
"12/01/2013","DKI2 (Kelapa Gading)",35,7,16,140,6
"12/01/2013","DKI3 (Jagakarsa)",19,1,10,42,3
"12/01/2013","DKI4 (Lubang Buaya)",38,2,11,50,6
